A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0	1	#	0	0	0.0954436889785144	0.6250999200639489	1	116.89046175595375	9986	2	0.5	121.11307719494219	782	1251
#	0	#	#	0	#	0	0.2373046875	0.75	4	109.56086464169354	9988	4	0.3333333333333333	5207.234535277258	1875	2500
#	#	#	1	1	#	1	0.23714646328406627	0.7498999599839936	4	119.84401107687484	9991	7	0.3333333333333333	5892.092024936897	1874	2499
0	#	#	0	1	#	0	0.23762151614310076	0.7502001601281025	4	130.55796622554652	9994	11	0.5	6196.916131204152	937	1249
1	1	0	#	#	0	0	1.0	1.0	10	152.27051602355164	9986	23	0.6666666666666666	1522.7051602355164	624	624
1	#	#	1	1	#	1	0.2360356813868746	0.7491961414790996	3	131.26966525772846	9946	33	0.5	393.8089957731854	932	1244
0	0	0	1	1	#	0	1.0	1.0	4	104.00632159394166	9923	42	0.8333333333333334	416.02528637576665	312	312
1	#	0	#	#	0	0	0.23698667000685814	0.7497988736926791	3	130.89521394787843	9986	48	0.5	392.68564184363527	932	1243
#	#	#	0	#	0	0	0.23666950401149858	0.7495980707395499	3	128.5858728720939	9994	52	0.3333333333333333	385.75761861628166	1865	2488
0	#	1	#	#	#	1	0.23762304630514489	0.7502011263073209	4	111.04989453065875	9991	57	0.3333333333333333	5270.934216143977	1865	2486
1	#	0	1	#	0	0	0.2373046875	0.75	2	133.2213734213927	9986	66	0.6666666666666666	266.4427468427854	465	620
#	#	0	#	#	0	0	0.2371454439897676	0.7498993153443415	2	126.00701439642746	9986	66	0.3333333333333333	265.01753599106866	1862	2483
1	0	#	#	0	#	0	1.0	1.0	22	110.87654808633877	9988	68	0.5	37828.84490553602	1241	1241
0	#	#	1	#	#	1	0.23778293137439063	0.7503020539669755	4	108.4047422805402	9991	69	0.3333333333333333	5314.002721731979	1863	2483
0	#	#	0	#	1	0	0.23794432240501076	0.7504038772213247	4	119.45009339493372	9960	85	0.5	5661.990703066011	929	1238
0	#	0	0	#	1	0	1.0	1.0	7	127.9879043334577	9960	104	0.6666666666666666	895.915330334204	618	618
#	1	#	1	0	#	1	0.23826699234975077	0.7506072874493928	4	118.72693469264611	9954	114	0.5	5849.577995247198	927	1235
0	#	1	#	1	#	1	0.23698461108654	0.7497975708502024	4	119.21709505742844	9991	121	0.5	5673.83098457381	926	1235
#	#	#	1	#	#	1	0.0950203047404456	0.6245443499392467	1	112.07537852301581	9991	124	0.16666666666666666	117.6177789422122	3084	4938
0	#	#	0	#	#	0	0.23778603559223102	0.7503040129712201	5	128.88342839877382	9994	129	0.3333333333333333	9551.877951567012	1851	2467
0	0	1	1	#	#	1	1.0	1.0	12	125.81020997486196	9966	133	0.6666666666666666	1509.7225196983436	616	616
1	#	#	1	#	0	0	0.23762562968663628	0.7502027575020276	4	131.21125951327764	9986	137	0.5	6227.816796592497	925	1233
#	#	#	#	1	#	1	0.09513524355501861	0.6246953696181966	1	127.3587740245761	9997	154	0.16666666666666666	133.19846753072014	3076	4924
1	0	#	1	0	#	0	1.0	1.0	13	111.23854445847617	9988	163	0.6666666666666666	1446.1010779601902	614	614
#	#	#	#	#	0	0	0.09525056934974499	0.624846751123825	2	120.98559751371377	9994	215	0.16666666666666666	3732.9840935805123	3058	4894
1	#	0	#	0	0	0	1.0	1.0	8	157.9481114295931	9964	240	0.6666666666666666	1263.5848914367448	608	608
#	#	#	1	#	1	1	0.2369804122171001	0.7497949138638228	2	113.65485026969502	9954	242	0.3333333333333333	232.13712567423755	1828	2438
#	#	1	#	#	#	1	0.09524999372083495	0.6248459958932239	1	119.02644469285757	9997	261	0.16666666666666666	119.02644469285757	3043	4870
0	#	0	0	#	#	0	1.0	1.0	15	141.8263240138972	9985	267	0.5	22494.554002538367	1216	1216
#	#	0	1	1	#	1	0.095367431640625	0.625	1	111.24271264233418	9889	271	0.5	113.05339080291773	760	1216
#	#	#	0	#	#	0	0.09554420526361439	0.6252315291212184	2	126.85893015777113	9994	278	0.16666666666666666	3743.8178076743984	3038	4859
#	1	#	1	0	1	1	1.0	1.0	14	125.17375164458471	9954	284	0.6666666666666666	1752.432523024186	607	607
#	#	0	0	#	#	0	0.2369788090989091	0.7497938994229184	3	134.84439106635028	9985	296	0.3333333333333333	404.53317319905085	1819	2426
#	0	1	1	1	#	1	1.0	1.0	10	145.00503884744245	9966	302	0.6666666666666666	1450.0503884744244	604	604
0	0	0	#	1	#	0	1.0	1.0	14	116.46787192112603	9985	323	0.6666666666666666	1630.5502068957644	604	604
0	0	0	1	1	0	0	1.0	1.0	1	114.37367584023968	9923	323	1.0	114.37367584023968	151	151
#	0	#	1	0	#	0	0.2366516755474797	0.7495867768595041	5	109.31219768636741	9988	324	0.5	8140.237439753914	907	1210
0	#	1	1	#	1	1	1.0	1.0	4	138.73853885810496	9914	338	0.6666666666666666	554.9541554324198	603	603
#	0	#	#	1	#	1	0.23664951206490956	0.7495854063018242	4	115.93718951632958	9997	353	0.3333333333333333	5525.545503237731	1808	2412
1	0	#	#	1	#	1	1.0	1.0	21	108.09547248800729	9997	357	0.5	33603.469186886	1204	1204
0	#	0	0	1	#	0	1.0	1.0	9	141.61183254090787	9985	385	0.6666666666666666	1274.5064928681709	601	601
#	#	#	0	0	#	0	0.23746973457074688	0.7501042970379641	3	112.82569157994868	9964	405	0.3333333333333333	338.47707473984605	1798	2397
#	0	1	1	#	#	1	0.23664514180614574	0.7495826377295493	3	117.28414792189298	9966	410	0.5	351.8524437656789	898	1198
0	#	0	0	1	1	0	1.0	1.0	2	131.09482235290187	9960	424	0.8333333333333334	262.18964470580374	299	299
#	1	#	0	#	#	0	0.2373046875	0.75	7	138.23985372202057	9994	429	0.3333333333333333	20121.532331338676	1794	2392
1	#	#	0	1	#	1	0.2373046875	0.75	3	128.2197571852893	9997	435	0.5	384.6592715558679	897	1196
0	#	#	1	0	#	1	0.2373046875	0.75	2	110.75556058369287	9954	462	0.5	226.8889014592322	894	1192
#	1	#	1	#	#	1	0.2374705652283848	0.750104821802935	4	118.6175221118053	9991	462	0.3333333333333333	6080.255126186086	1789	2385
1	#	#	#	1	#	1	0.23647460335698817	0.7494745691467003	6	131.66458228988748	9997	481	0.3333333333333333	14129.44108502806	1783	2379
1	0	#	1	1	#	1	1.0	1.0	9	111.72770488316417	9946	481	0.6666666666666666	1005.5493439484775	593	593
1	#	#	#	0	#	0	0.23680171038655576	0.7496817988969029	3	111.80605315552246	9988	556	0.3333333333333333	335.4181594665674	1767	2357
